Form/Schedule	What it covers	Typical trigger(s)	Primary IRS page URL	Instructions PDF URL	Notes
Form 1040	U.S. Individual Income Tax Return	Base individual return; totals from Schedules & forms roll up here	https://www.irs.gov/forms-pubs/about-form-1040	https://www.irs.gov/pub/irs-pdf/i1040gi.pdf	Accessed 2025-10-01. Current revision links provided. 
Schedule B (Form 1040)	Interest and Ordinary Dividends	Required if interest or ordinary dividends > $1,500; nominee distributions; foreign accounts/trusts	https://www.irs.gov/forms-pubs/about-schedule-b-form-1040	https://www.irs.gov/pub/irs-pdf/f1040sb.pdf	Accessed 2025-10-01. Triggers (>$1,500; foreign) on IRS page. 
Schedule D (Form 1040)	Capital Gains and Losses	Sales/exchanges of capital assets; capital gain distributions; unrecaptured §1250; collectibles	https://www.irs.gov/forms-pubs/about-schedule-d-form-1040	https://www.irs.gov/instructions/i1040sd	Accessed 2025-10-01. Schedule D instructions include 1250/28% rate and when Form 8949 is needed. 
Form 8949	Sales and Other Dispositions of Capital Assets	Broker 1099‑B sales; adjustments to basis; §1061 recharacterization reporting	https://www.irs.gov/forms-pubs/about-form-8949	https://www.irs.gov/instructions/i8949	Accessed 2025-10-01. 8949 instructions reference §1061 reporting on Form 8949. 
Schedule E (Form 1040)	Supplemental income: rental, royalties, partnerships (K‑1), S corps, estates/trusts	Any K‑1 (Form 1065), rental real estate, royalties, S corp K‑1	https://www.irs.gov/forms-pubs/about-schedule-e-form-1040	https://www.irs/instructions/i1040se	Accessed 2025-10-01. Use Schedule E for partnership/LLC K‑1 reporting. 
Schedule K‑1 (Form 1065) – Partner	Partner’s share of income, deductions, credits from partnership/LLC	Receipt of K‑1 from partnership/LLC real‑estate investment	https://www.irs.gov/forms-pubs/about-schedule-k-1-form-1065	https://www.irs.gov/instructions/i1065sk1	Accessed 2025-10-01. Partner’s instructions cover lines (e.g., §1231, §179, 199A info). 
Schedule K‑3 (Form 1065) – Partner	Foreign items detail for partners (FTC, sourcing, etc.)	K‑1 includes international/foreign tax items; partner requested; partnership required	https://www.irs.gov/instructions/i1065sk3	https://www.irs.gov/pub/irs-pdf/i1065sk3.pdf	Accessed 2025-10-01. Describes how K‑3 informs Form 1116 and FTC limitation. 
Form 8995	QBI Deduction (Simplified)	199A deduction for taxpayers at/below threshold; includes **qualified REIT dividends**	https://www.irs.gov/instructions/i8995	https://www.irs.gov/pub/irs-pdf/i8995.pdf	Accessed 2025-10-01. Box 5 (1099‑DIV) flows to 8995. 
Form 8995‑A	QBI Deduction (Full)	QBI when above thresholds or other complexities	https://www.irs.gov/instructions/i8995a	https://www.irs.gov/instructions/i8995a	Accessed 2025-10-01. Explains REIT/PTP component and thresholds. 
Form 1116	Foreign Tax Credit	Foreign tax paid/withheld (e.g., 1099‑DIV box 7; K‑3 items)	https://www.irs.gov/forms-pubs/about-form-1116	https://www.irs.gov/instructions/i1116	Accessed 2025-10-01. Use with K‑3/box 7 as applicable. 
Form 4952	Investment Interest Expense	Deduction limited to net investment income (from K‑1/portfolio)	https://www.irs.gov/forms-pubs/about-form-4952	https://www.irs.gov/forms-pubs/about-form-4952	Accessed 2025-10-01. About page summarizes limitation. 
Form 8582	Passive Activity Loss Limitations	Real estate PAL limits; suspension/carryforward; disposition release	https://www.irs.gov/forms-pubs/about-form-8582	https://www.irs.gov/pub/irs-pdf/i8582.pdf	Accessed 2025-10-01. Instructions describe who must file and exceptions. 
Form 461	Excess Business Loss	Noncorporate excess business loss limitation ordering (after at‑risk, PAL)	https://www.irs.gov/forms-pubs/about-form-461	https://www.irs.gov/pub/irs-pdf/i461.pdf	Accessed 2025-10-01. Ordering rules noted in instructions. 
Form 6251	Alternative Minimum Tax (AMT)	AMT computation; includes AMT FTC and preference items (e.g., private‑activity dividends)	https://www.irs.gov/forms-pubs/about-form-6251	https://www.irs.gov/pub/irs-pdf/f6251.pdf	Accessed 2025-10-01. 1099‑DIV box 13 may be AMT‑related. 
Form 4797	SALE of Business Property; §1231/§1250 integration	§1231 gains/losses from partnership K‑1; real‑property sales; recapture interactions	https://www.irs.gov/forms-pubs/about-form-4797	https://www.irs.gov/pub/irs-pdf/f4797.pdf	Accessed 2025-10-01. Use with §1231 items from K‑1. 
Section 1231 treatment	§1231 gains/losses (business & real property) flow‑through; netting rules	Net §1231 gain taxed at LTCG rates; net loss ordinary; often appears on K‑1 line 10	https://www.irs.gov/publications/p544	https://www.irs.gov/pub/irs-pdf/p544.pdf	Accessed 2025-10-01. Pub 544 covers §1231/§1250 concepts. 
Unrecaptured §1250 gain (25%)	Real‑estate depreciation‑related LTCG bucket	Triggered via capital gain distributions or asset sales; reported on Sch D	https://www.irs.gov/instructions/i1040sd	https://www.irs.gov/pub/irs-prior/i1040sd--2024.pdf	Accessed 2025-10-01. Sch D instructions identify §1250/28% lines. 
Form 6252	Installment Sale Income	Installment method for sales; sometimes investor‑level if disposing interest	https://www.irs.gov/forms-pubs/about-form-6252	https://www.irs.gov/pub/irs-pdf/f6252.pdf	Accessed 2025-10-01. Use if investor sells property/interest on installment. 
Form 1099‑DIV	Dividends & Distributions (incl. REIT items)	REIT distributions: Box 1a/1b; Box 2a/2b/2d; Box 3 (ROC); Box 5 (199A); Box 7 (foreign tax)	https://www.irs.gov/forms-pubs/about-form-1099-div	https://www.irs.gov/pub/irs-pdf/f1099div.pdf	Accessed 2025-10-01. Recipient instructions explain flows to 1040/Sch D/8995/1116/6251. 
Section 1061 (Carried Interest)	Recharacterization of certain LTCG to STCG (3‑year rule)	Service provider “profits interest” reporting; may require 8949 adjustments	https://www.irs.gov/businesses/partnerships/section-1061-reporting-guidance-faqs	https://www.federalregister.gov/documents/2021/01/19/2021-00427/guidance-under-section-1061	Accessed 2025-10-01. IRS FAQs and final regs. 8949 instructions reference §1061. 
